s_m,x_m,y_m,yaw_rad,kappa_1pm,radius_m,label
0.000000,2.961454,3.180000,3.141592636,0.005207071,192.046561,gate_exit_cw_center
0.009898,2.951556,3.179997,-3.140571668,0.211421819,4.729881,gate_exit_cw_center
0.019797,2.941657,3.179973,-3.137509694,0.417636568,2.394426,gate_exit_cw_center
0.029695,2.931759,3.179909,-3.132406747,0.623851317,1.602946,gate_exit_cw_center
0.039593,2.921862,3.179784,-3.125262829,0.830066065,1.204723,gate_exit_cw_center
0.049491,2.911966,3.179579,-3.116077939,1.036280814,0.964989,gate_exit_cw_center
0.059390,2.902072,3.179273,-3.104851081,1.242495563,0.804832,gate_exit_cw_center
0.069288,2.892183,3.178845,-3.091583213,1.448710312,0.690269,gate_exit_cw_center
0.079186,2.882301,3.178276,-3.076274374,1.654925061,0.604257,gate_exit_cw_center
0.089084,2.872430,3.177546,-3.058924563,1.861139811,0.537305,gate_exit_cw_center
0.098983,2.862574,3.176635,-3.039533780,2.067354560,0.483710,gate_exit_cw_center
0.108881,2.852738,3.175523,-3.018101066,2.273569309,0.439837,gate_exit_cw_center
0.118779,2.842931,3.174190,-2.994627306,2.479784058,0.403261,gate_exit_cw_center
0.128677,2.833158,3.172620,-2.969897654,2.500000000,0.400000,gate_exit_cw_center
0.138575,2.823427,3.170808,-2.945151884,2.500000000,0.400000,gate_exit_cw_center
0.148473,2.813744,3.168756,-2.920406114,2.500000000,0.400000,gate_exit_cw_center
0.158371,2.804115,3.166465,-2.895660344,2.500000000,0.400000,gate_exit_cw_center
0.168269,2.794545,3.163937,-2.870914574,2.500000000,0.400000,gate_exit_cw_center
0.178167,2.785041,3.161173,-2.846168804,2.500000000,0.400000,gate_exit_cw_center
0.188065,2.775608,3.158174,-2.821423034,2.500000000,0.400000,gate_exit_cw_center
0.197963,2.766252,3.154943,-2.796677265,2.500000000,0.400000,gate_exit_cw_center
0.207861,2.756979,3.151481,-2.771931495,2.500000000,0.400000,gate_exit_cw_center
0.217759,2.747795,3.147791,-2.747185725,2.500000000,0.400000,gate_exit_cw_center
0.227657,2.738704,3.143875,-2.722439955,2.500000000,0.400000,gate_exit_cw_center
0.237555,2.729714,3.139735,-2.697694185,2.500000000,0.400000,gate_exit_cw_center
0.247453,2.720828,3.135374,-2.672948415,2.500000000,0.400000,gate_exit_cw_center
0.257351,2.712053,3.130794,-2.648202645,2.500000000,0.400000,gate_exit_cw_center
0.267250,2.703394,3.125999,-2.623456875,2.500000000,0.400000,gate_exit_cw_center
0.277148,2.694857,3.120991,-2.598711105,2.500000000,0.400000,gate_exit_cw_center
0.287046,2.686446,3.115773,-2.573965335,2.500000000,0.400000,gate_exit_cw_center
