s_m,x_m,y_m,yaw_rad,kappa_1pm,radius_m,tube,direction
0.000000,1.206454,3.180000,0.000000000,0.000000000,,center,ccw
0.009990,1.216444,3.180000,0.000000000,0.000000000,,center,ccw
0.019981,1.226435,3.180000,0.000000000,0.000000000,,center,ccw
0.029971,1.236425,3.180000,0.000000000,0.000000000,,center,ccw
0.039961,1.246415,3.180000,0.000000000,0.000000000,,center,ccw
0.049952,1.256406,3.180000,0.000000000,0.000000000,,center,ccw
0.059942,1.266396,3.180000,0.000000000,0.000000000,,center,ccw
0.069932,1.276386,3.180000,0.000000000,0.000000000,,center,ccw
0.079923,1.286377,3.180000,0.000000000,0.000000000,,center,ccw
0.089913,1.296367,3.180000,0.000000000,0.000000000,,center,ccw
0.099903,1.306357,3.180000,0.000000000,0.000000000,,center,ccw
0.109894,1.316348,3.180000,0.000000000,0.000000000,,center,ccw
0.119884,1.326338,3.180000,0.000000000,0.000000000,,center,ccw
0.129874,1.336328,3.180000,0.000000000,0.000000000,,center,ccw
0.139865,1.346319,3.180000,0.000000000,0.000000000,,center,ccw
0.149855,1.356309,3.180000,0.000000000,0.000000000,,center,ccw
0.159845,1.366299,3.180000,0.000000000,0.000000000,,center,ccw
0.169836,1.376290,3.180000,0.000000000,0.000000000,,center,ccw
0.179826,1.386280,3.180000,0.000000000,0.000000000,,center,ccw
0.189816,1.396270,3.180000,0.000000000,0.000000000,,center,ccw
0.199807,1.406261,3.180000,0.000000000,0.000000000,,center,ccw
0.209797,1.416251,3.180000,0.000000000,0.000000000,,center,ccw
0.219787,1.426241,3.180000,0.000000000,0.000000000,,center,ccw
0.229778,1.436232,3.180000,0.000000000,0.000000000,,center,ccw
0.239768,1.446222,3.180000,0.000000000,0.000000000,,center,ccw
0.249758,1.456212,3.180000,0.000000000,0.000000000,,center,ccw
0.259749,1.466203,3.180000,0.000000000,0.000000000,,center,ccw
0.269739,1.476193,3.180000,0.000000000,0.000000000,,center,ccw
0.279729,1.486183,3.180000,0.000000000,0.000000000,,center,ccw
0.289720,1.496174,3.180000,0.000000000,0.000000000,,center,ccw
0.299710,1.506164,3.180000,0.000000000,0.000000000,,center,ccw
0.309700,1.516154,3.180000,0.000000000,0.000000000,,center,ccw
0.319691,1.526145,3.180000,0.000000000,0.000000000,,center,ccw
0.329681,1.536135,3.180000,0.000000000,0.000000000,,center,ccw
0.339672,1.546125,3.180000,0.000000000,0.000000000,,center,ccw
0.349662,1.556116,3.180000,0.000000000,0.000000000,,center,ccw
0.359652,1.566106,3.180000,0.000000000,0.000000000,,center,ccw
0.369643,1.576096,3.180000,0.000000000,0.000000000,,center,ccw
0.379633,1.586087,3.180000,0.000000000,0.000000000,,center,ccw
0.389623,1.596077,3.180000,0.000000000,0.000000000,,center,ccw
0.399614,1.606067,3.180000,0.000000000,0.000000000,,center,ccw
0.409604,1.616058,3.180000,0.000000000,0.000000000,,center,ccw
0.419594,1.626048,3.180000,0.000000000,0.000000000,,center,ccw
0.429585,1.636038,3.180000,0.000000000,0.000000000,,center,ccw
0.439575,1.646029,3.180000,0.000000000,0.000000000,,center,ccw
0.449565,1.656019,3.180000,0.000000000,0.000000000,,center,ccw
0.459556,1.666009,3.180000,0.000000000,0.000000000,,center,ccw
0.469546,1.676000,3.180000,0.000000000,0.000000000,,center,ccw
0.479536,1.685990,3.180000,0.000000000,0.000000000,,center,ccw
0.489527,1.695980,3.180000,0.000000000,0.000000000,,center,ccw
0.499517,1.705971,3.180000,0.000000000,0.000000000,,center,ccw
0.509507,1.715961,3.180000,0.000000000,0.000000000,,center,ccw
0.519498,1.725952,3.180000,0.000000000,0.000000000,,center,ccw
0.529488,1.735942,3.180000,0.000000000,0.000000000,,center,ccw
0.539478,1.745932,3.180000,0.000000000,0.000000000,,center,ccw
0.549469,1.755923,3.180000,0.000000000,0.000000000,,center,ccw
0.559459,1.765913,3.180000,0.000000000,0.000000000,,center,ccw
0.569449,1.775903,3.180000,0.000000000,0.000000000,,center,ccw
0.579440,1.785894,3.180000,0.000000000,0.000000000,,center,ccw
0.589430,1.795884,3.180000,0.000000000,0.000000000,,center,ccw
0.599420,1.805874,3.180000,0.000000000,0.000000000,,center,ccw
0.609411,1.815865,3.180000,0.000000000,0.000000000,,center,ccw
0.619401,1.825855,3.180000,0.000000000,0.000000000,,center,ccw
0.629391,1.835845,3.180000,0.000000000,0.000000000,,center,ccw
0.639382,1.845836,3.180000,0.000000000,0.000000000,,center,ccw
0.649372,1.855826,3.180000,0.000000000,0.000000000,,center,ccw
0.659362,1.865816,3.180000,0.000000000,0.000000000,,center,ccw
0.669353,1.875807,3.180000,0.000000000,0.000000000,,center,ccw
0.679343,1.885797,3.180000,0.000000000,0.000000000,,center,ccw
0.689333,1.895787,3.180000,0.000000000,0.000000000,,center,ccw
0.699324,1.905778,3.180000,0.000000000,0.000000000,,center,ccw
0.709314,1.915768,3.180000,0.000000000,0.000000000,,center,ccw
0.719304,1.925758,3.180000,0.000000000,0.000000000,,center,ccw
0.729295,1.935749,3.180000,0.000000000,0.000000000,,center,ccw
0.739285,1.945739,3.180000,0.000000000,0.000000000,,center,ccw
0.749275,1.955729,3.180000,0.000000000,0.000000000,,center,ccw
0.759266,1.965720,3.180000,0.000000000,0.000000000,,center,ccw
0.769256,1.975710,3.180000,0.000000000,0.000000000,,center,ccw
0.779246,1.985700,3.180000,0.000000000,0.000000000,,center,ccw
0.789237,1.995691,3.180000,0.000000000,0.000000000,,center,ccw
0.799227,2.005681,3.180000,0.000000000,0.000000000,,center,ccw
0.809217,2.015671,3.180000,0.000000000,0.000000000,,center,ccw
0.819208,2.025662,3.180000,0.000000000,0.000000000,,center,ccw
0.829198,2.035652,3.180000,0.000000000,0.000000000,,center,ccw
0.839188,2.045642,3.180000,0.000000000,0.000000000,,center,ccw
0.849179,2.055633,3.180000,0.000000000,0.000000000,,center,ccw
0.859169,2.065623,3.180000,0.000000000,0.000000000,,center,ccw
0.869159,2.075613,3.180000,0.000000000,0.000000000,,center,ccw
0.879150,2.085604,3.180000,0.000000000,0.000000000,,center,ccw
0.889140,2.095594,3.180000,0.000000000,0.000000000,,center,ccw
0.899130,2.105584,3.180000,0.000000000,0.000000000,,center,ccw
0.909121,2.115575,3.180000,0.000000000,0.000000000,,center,ccw
0.919111,2.125565,3.180000,0.000000000,0.000000000,,center,ccw
0.929101,2.135555,3.180000,0.000000000,0.000000000,,center,ccw
0.939092,2.145546,3.180000,0.000000000,0.000000000,,center,ccw
0.949082,2.155536,3.180000,0.000000000,0.000000000,,center,ccw
0.959073,2.165526,3.180000,0.000000000,0.000000000,,center,ccw
0.969063,2.175517,3.180000,0.000000000,0.000000000,,center,ccw
0.979053,2.185507,3.180000,0.000000000,0.000000000,,center,ccw
0.989044,2.195497,3.180000,0.000000000,0.000000000,,center,ccw
0.999034,2.205488,3.180000,0.000000000,0.000000000,,center,ccw
1.009024,2.215478,3.180000,0.000000000,0.000000000,,center,ccw
1.019015,2.225468,3.180000,0.000000000,0.000000000,,center,ccw
1.029005,2.235459,3.180000,0.000000000,0.000000000,,center,ccw
1.038995,2.245449,3.180000,0.000000000,0.000000000,,center,ccw
1.048986,2.255439,3.180000,0.000000000,0.000000000,,center,ccw
1.058976,2.265430,3.180000,0.000000000,0.000000000,,center,ccw
1.068966,2.275420,3.180000,0.000000000,0.000000000,,center,ccw
1.078957,2.285410,3.180000,0.000000000,0.000000000,,center,ccw
1.088947,2.295401,3.180000,0.000000000,0.000000000,,center,ccw
1.098937,2.305391,3.180000,0.000000000,0.000000000,,center,ccw
1.108928,2.315381,3.180000,0.000000000,0.000000000,,center,ccw
1.118918,2.325372,3.180000,0.000000000,0.000000000,,center,ccw
1.128908,2.335362,3.180000,0.000000000,0.000000000,,center,ccw
1.138899,2.345353,3.180000,0.000000000,0.000000000,,center,ccw
1.148889,2.355343,3.180000,0.000000000,0.000000000,,center,ccw
1.158879,2.365333,3.180000,0.000000000,0.000000000,,center,ccw
1.168870,2.375324,3.180000,0.000000000,0.000000000,,center,ccw
1.178860,2.385314,3.180000,0.000000000,0.000000000,,center,ccw
1.188850,2.395304,3.180000,0.000000000,0.000000000,,center,ccw
1.198841,2.405295,3.180000,0.000000000,0.000000000,,center,ccw
1.208831,2.415285,3.180000,0.000000000,0.000000000,,center,ccw
1.218821,2.425275,3.180000,0.000000000,0.000000000,,center,ccw
1.228812,2.435266,3.180000,0.000000000,0.000000000,,center,ccw
1.238802,2.445256,3.180000,0.000000000,0.000000000,,center,ccw
1.248792,2.455246,3.180000,0.000000000,0.000000000,,center,ccw
1.258783,2.465237,3.180000,0.000000000,0.000000000,,center,ccw
1.268773,2.475227,3.180000,0.000000000,0.000000000,,center,ccw
1.278763,2.485217,3.180000,0.000000000,0.000000000,,center,ccw
1.288754,2.495208,3.180000,0.000000000,0.000000000,,center,ccw
