s_m,x_m,y_m,yaw_rad,kappa_1pm,radius_m,tube,direction
0.000000,1.196464,3.180003,3.140552979,-0.213339126,4.687373,inner,cw
0.009991,1.186473,3.180028,3.137433979,-0.421471182,2.372641,inner,cw
0.019981,1.176483,3.180093,3.132235669,-0.629603238,1.588302,inner,cw
0.029971,1.166494,3.180222,3.124958051,-0.837735294,1.193694,inner,cw
0.039961,1.156506,3.180433,3.115601125,-1.045867350,0.956144,inner,cw
0.049952,1.146520,3.180748,3.104164890,-1.253999406,0.797449,inner,cw
0.059942,1.136540,3.181187,3.090649346,-1.462131462,0.683933,inner,cw
0.069932,1.126567,3.181772,3.075054493,-1.670263519,0.598708,inner,cw
0.079922,1.116605,3.182523,3.057380332,-1.878395575,0.532369,inner,cw
0.089913,1.106658,3.183460,3.037626862,-2.086527631,0.479265,inner,cw
0.099903,1.096734,3.184603,3.015794084,-2.294659688,0.435794,inner,cw
0.109893,1.086838,3.185973,2.991881997,-2.498990094,0.400162,inner,cw
0.119883,1.076979,3.187586,2.966906655,-2.500000000,0.400000,inner,cw
0.129873,1.067164,3.189445,2.941930808,-2.500000000,0.400000,inner,cw
0.139863,1.057398,3.191549,2.916954961,-2.500000000,0.400000,inner,cw
0.149854,1.047687,3.193896,2.891979114,-2.500000000,0.400000,inner,cw
0.159844,1.038038,3.196484,2.867003268,-2.500000000,0.400000,inner,cw
0.169834,1.028457,3.199313,2.842027421,-2.500000000,0.400000,inner,cw
0.179824,1.018949,3.202380,2.817051574,-2.500000000,0.400000,inner,cw
0.189814,1.009521,3.205684,2.792075727,-2.500000000,0.400000,inner,cw
0.199804,1.000179,3.209222,2.767099881,-2.500000000,0.400000,inner,cw
0.209794,0.990927,3.212992,2.742124034,-2.500000000,0.400000,inner,cw
0.219784,0.981773,3.216992,2.717148187,-2.500000000,0.400000,inner,cw
0.229774,0.972721,3.221219,2.692172340,-2.500000000,0.400000,inner,cw
0.239764,0.963778,3.225671,2.667196493,-2.500000000,0.400000,inner,cw
0.249755,0.954949,3.230346,2.642220647,-2.500000000,0.400000,inner,cw
0.259745,0.946239,3.235239,2.617244800,-2.500000000,0.400000,inner,cw
0.269734,0.937655,3.240348,2.592268953,-2.500000000,0.400000,inner,cw
0.279725,0.929200,3.245670,2.567293106,-2.500000000,0.400000,inner,cw
0.289715,0.920881,3.251201,2.542317260,-2.500000000,0.400000,inner,cw
0.299705,0.912703,3.256939,2.517341413,-2.500000000,0.400000,inner,cw
0.309694,0.904671,3.262878,2.492365566,-2.500000000,0.400000,inner,cw
0.319685,0.896789,3.269017,2.467389720,-2.500000000,0.400000,inner,cw
0.329675,0.889063,3.275351,2.442413873,-2.500000000,0.400000,inner,cw
0.339665,0.881498,3.281875,2.417438026,-2.500000000,0.400000,inner,cw
0.349655,0.874098,3.288586,2.392462179,-2.500000000,0.400000,inner,cw
0.359645,0.866868,3.295480,2.367486333,-2.500000000,0.400000,inner,cw
0.369635,0.859812,3.302553,2.342510486,-2.500000000,0.400000,inner,cw
0.379625,0.852936,3.309799,2.317534639,-2.500000000,0.400000,inner,cw
0.389615,0.846242,3.317215,2.292558793,-2.500000000,0.400000,inner,cw
0.399605,0.839736,3.324796,2.267582946,-2.500000000,0.400000,inner,cw
0.409595,0.833421,3.332537,2.242607099,-2.500000000,0.400000,inner,cw
0.419585,0.827301,3.340433,2.217631253,-2.500000000,0.400000,inner,cw
0.429576,0.821380,3.348480,2.192655406,-2.500000000,0.400000,inner,cw
0.439566,0.815662,3.356672,2.167679560,-2.500000000,0.400000,inner,cw
0.449556,0.810151,3.365004,2.142703713,-2.500000000,0.400000,inner,cw
0.459546,0.804849,3.373471,2.117727866,-2.500000000,0.400000,inner,cw
0.469535,0.799761,3.382068,2.092752020,-2.500000000,0.400000,inner,cw
0.479526,0.794888,3.390790,2.067776173,-2.500000000,0.400000,inner,cw
0.489516,0.790235,3.399630,2.042800326,-2.500000000,0.400000,inner,cw
0.499506,0.785805,3.408584,2.017824480,-2.500000000,0.400000,inner,cw
0.509496,0.781599,3.417645,1.992848633,-2.500000000,0.400000,inner,cw
0.519486,0.777621,3.426809,1.967872787,-2.500000000,0.400000,inner,cw
0.529477,0.773873,3.436070,1.942896940,-2.500000000,0.400000,inner,cw
0.539467,0.770357,3.445421,1.917921093,-2.500000000,0.400000,inner,cw
0.549457,0.767076,3.454857,1.892945247,-2.500000000,0.400000,inner,cw
0.559447,0.764032,3.464372,1.867969400,-2.500000000,0.400000,inner,cw
0.569437,0.761226,3.473960,1.842993554,-2.500000000,0.400000,inner,cw
0.579427,0.758660,3.483615,1.818017707,-2.500000000,0.400000,inner,cw
0.589417,0.756337,3.493331,1.793041861,-2.500000000,0.400000,inner,cw
0.599407,0.754257,3.503102,1.768066014,-2.500000000,0.400000,inner,cw
0.609397,0.752421,3.512922,1.743090167,-2.500000000,0.400000,inner,cw
0.619387,0.750832,3.522785,1.718126509,-2.472442806,0.404458,inner,cw
0.629377,0.749484,3.532683,1.694413571,-2.264310751,0.441635,inner,cw
0.639367,0.748361,3.542610,1.672779942,-2.056178696,0.486339,inner,cw
0.649357,0.747443,3.552558,1.653225621,-1.848046641,0.541112,inner,cw
0.659347,0.746709,3.562521,1.635750609,-1.639914586,0.609788,inner,cw
0.669338,0.746139,3.572495,1.620354905,-1.431782531,0.698430,inner,cw
0.679328,0.745713,3.582476,1.607038510,-1.223650475,0.817227,inner,cw
0.689318,0.745408,3.592462,1.595801494,-1.015518420,0.984719,inner,cw
0.699308,0.745206,3.602450,1.586643792,-0.807386365,1.238564,inner,cw
0.709299,0.745085,3.612440,1.579565398,-0.599254309,1.668741,inner,cw
0.719289,0.745024,3.622430,1.574566313,-0.391122254,2.556745,inner,cw
0.729279,0.745003,3.632420,1.571646536,-0.182990198,5.464774,inner,cw
0.739270,0.745000,3.642411,1.570797835,-0.003016996,331.455527,inner,cw
0.749260,0.745000,3.652401,1.570796327,-0.000000000,,inner,cw
0.759250,0.745000,3.662391,1.570796327,-0.000000000,,inner,cw
0.769241,0.745000,3.672382,1.570796327,-0.000000000,,inner,cw
0.779231,0.745000,3.682372,1.570796327,-0.000000000,,inner,cw
0.789221,0.745000,3.692362,1.570796327,-0.000000000,,inner,cw
0.799212,0.745000,3.702353,1.570796327,-0.000000000,,inner,cw
0.809202,0.745000,3.712343,1.570796327,-0.000000000,,inner,cw
0.819192,0.745000,3.722333,1.570796327,-0.000000000,,inner,cw
0.829183,0.745000,3.732324,1.570796327,-0.000000000,,inner,cw
0.839173,0.745000,3.742314,1.570796327,-0.000000000,,inner,cw
0.849163,0.745000,3.752304,1.570796327,-0.000000000,,inner,cw
0.859154,0.745000,3.762295,1.570796327,-0.000000000,,inner,cw
0.869144,0.745000,3.772285,1.570796327,-0.000000000,,inner,cw
0.879135,0.745000,3.782276,1.570796327,-0.000000000,,inner,cw
0.889125,0.745000,3.792266,1.570796327,-0.000000000,,inner,cw
0.899115,0.745000,3.802256,1.570796327,-0.000000000,,inner,cw
0.909106,0.745000,3.812247,1.570796327,-0.000000000,,inner,cw
0.919096,0.745000,3.822237,1.570796327,-0.000000000,,inner,cw
0.929086,0.745000,3.832227,1.570796327,-0.000000000,,inner,cw
0.939077,0.745000,3.842218,1.570796327,-0.000000000,,inner,cw
0.949067,0.745000,3.852208,1.570796327,-0.000000000,,inner,cw
0.959057,0.745000,3.862198,1.570796327,-0.000000000,,inner,cw
0.969048,0.745000,3.872189,1.570796327,-0.000000000,,inner,cw
0.979038,0.745000,3.882179,1.570658364,-0.080890208,12.362436,inner,cw
0.989028,0.745009,3.892169,1.568862627,-0.289022264,3.459941,inner,cw
0.999018,0.745046,3.902159,1.564987582,-0.497154319,2.011448,inner,cw
1.009009,0.745132,3.912149,1.559033227,-0.705286375,1.417864,inner,cw
1.019000,0.745288,3.922139,1.550999564,-0.913418431,1.094789,inner,cw
1.028990,0.745534,3.932126,1.540886593,-1.121550487,0.891623,inner,cw
1.038980,0.745892,3.942110,1.528694313,-1.329682544,0.752059,inner,cw
1.048971,0.746382,3.952088,1.514422724,-1.537814600,0.650273,inner,cw
1.058960,0.747025,3.962057,1.498071826,-1.745946656,0.572755,inner,cw
1.068951,0.747841,3.972014,1.479641620,-1.954078712,0.511750,inner,cw
1.078941,0.748850,3.981953,1.459132106,-2.162210769,0.462490,inner,cw
1.088931,0.750074,3.991868,1.436543282,-2.370342825,0.421880,inner,cw
1.098921,0.751531,4.001751,1.412004198,-2.500000000,0.400000,inner,cw
1.108911,0.753234,4.011595,1.387028352,-2.500000000,0.400000,inner,cw
1.118902,0.755182,4.021394,1.362052505,-2.500000000,0.400000,inner,cw
1.128891,0.757374,4.031140,1.337076658,-2.500000000,0.400000,inner,cw
1.138882,0.759809,4.040829,1.312100811,-2.500000000,0.400000,inner,cw
1.148872,0.762485,4.050454,1.287124964,-2.500000000,0.400000,inner,cw
1.158862,0.765401,4.060009,1.262149118,-2.500000000,0.400000,inner,cw
1.168852,0.768554,4.069489,1.237173271,-2.500000000,0.400000,inner,cw
1.178842,0.771943,4.078886,1.212197424,-2.500000000,0.400000,inner,cw
1.188832,0.775566,4.088196,1.187221577,-2.500000000,0.400000,inner,cw
1.198822,0.779420,4.097413,1.162245730,-2.500000000,0.400000,inner,cw
1.208813,0.783503,4.106531,1.137269884,-2.500000000,0.400000,inner,cw
1.218802,0.787812,4.115543,1.112294037,-2.500000000,0.400000,inner,cw
1.228793,0.792346,4.124446,1.087318190,-2.500000000,0.400000,inner,cw
1.238782,0.797100,4.133232,1.062342343,-2.500000000,0.400000,inner,cw
1.248773,0.802072,4.141897,1.037366497,-2.500000000,0.400000,inner,cw
1.258763,0.807259,4.150435,1.012390650,-2.500000000,0.400000,inner,cw
1.268753,0.812657,4.158841,0.987414803,-2.500000000,0.400000,inner,cw
1.278743,0.818264,4.167109,0.962438956,-2.500000000,0.400000,inner,cw
1.288733,0.824075,4.175235,0.937463110,-2.500000000,0.400000,inner,cw
1.298723,0.830088,4.183213,0.912487263,-2.500000000,0.400000,inner,cw
1.308713,0.836298,4.191039,0.887511416,-2.500000000,0.400000,inner,cw
1.318703,0.842701,4.198707,0.862535570,-2.500000000,0.400000,inner,cw
